Timestamp,Node,N,NPerNode,Time_sec,Memory_kB
2026-01-23T19:18:51-05:00,c24-38,131328,36,   00:00:19    0.01      0.32      19.17 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141486344 kB
2026-01-23T19:18:51-05:00,c24-34,131328,12,   00:00:51    0.01      0.85      50.94 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136935544 kB
2026-01-23T19:18:51-05:00,c24-34,131328,36,   00:00:19    0.01      0.32      19.09 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141479044 kB
2026-01-23T19:19:02-05:00,c24-40,131328,12,   00:00:31    0.01      0.51      30.60 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136948520 kB
2026-01-23T19:19:03-05:00,c24-35,131328,12,   00:00:31    0.01      0.51      30.67 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136954752 kB
2026-01-23T19:19:03-05:00,c24-37,131328,12,   00:00:31    0.01      0.51      30.79 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136952152 kB
2026-01-23T19:19:04-05:00,c24-38,131328,12,   00:00:31    0.01      0.51      30.65 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136954380 kB
2026-01-23T19:19:04-05:00,c24-34,131328,12,   00:00:31    0.01      0.51      30.60 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136954520 kB
2026-01-23T19:19:04-05:00,c24-36,131328,12,   00:00:33    0.01      0.55      32.85 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136950652 kB
2026-01-23T19:19:05-05:00,c24-39,131328,12,   00:00:33    0.01      0.55      32.89 % HH:MM:SS=hours=minutes=seconds,Overall usage:         136962320 kB
2026-01-23T19:19:13-05:00,c24-39,131328,24,   00:00:19    0.01      0.32      19.15 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139206500 kB
2026-01-23T19:19:13-05:00,c24-36,131328,24,   00:00:20    0.01      0.33      19.52 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139199556 kB
2026-01-23T19:19:18-05:00,c24-40,131328,24,   00:00:24    0.01      0.40      23.75 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139205812 kB
2026-01-23T19:19:18-05:00,c24-35,131328,24,   00:00:24    0.01      0.40      24.13 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139202216 kB
2026-01-23T19:19:19-05:00,c24-37,131328,24,   00:00:25    0.01      0.41      24.63 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139206564 kB
2026-01-23T19:19:21-05:00,c24-34,131328,24,   00:00:24    0.01      0.41      24.41 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139206772 kB
2026-01-23T19:19:21-05:00,c24-38,131328,24,   00:00:25    0.01      0.41      24.55 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139200264 kB
2026-01-23T19:19:25-05:00,c24-36,131328,36,   00:00:15    0.00      0.25      15.21 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141469288 kB
2026-01-23T19:19:25-05:00,c24-39,131328,36,   00:00:15    0.00      0.25      15.12 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141472516 kB
2026-01-23T19:19:26-05:00,c24-37,131328,36,   00:00:18    0.01      0.30      18.09 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141471292 kB
2026-01-23T19:19:26-05:00,c24-35,131328,36,   00:00:18    0.01      0.30      18.02 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141477140 kB
2026-01-23T19:19:27-05:00,c24-40,131328,36,   00:00:18    0.00      0.30      17.78 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141488664 kB
2026-01-23T19:19:28-05:00,c24-38,131328,36,   00:00:18    0.01      0.30      18.18 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141483200 kB
2026-01-23T19:19:28-05:00,c24-34,131328,36,   00:00:18    0.01      0.30      18.17 % HH:MM:SS=hours=minutes=seconds,Overall usage:         141485968 kB
2026-01-23T19:20:16-05:00,c24-40,131328,24,   00:00:28    0.01      0.47      28.14 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139208600 kB
2026-01-23T19:20:16-05:00,c24-36,131328,24,   00:00:28    0.01      0.47      28.15 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139199916 kB
2026-01-23T19:20:16-05:00,c24-35,131328,24,   00:00:28    0.01      0.47      28.18 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139198168 kB
2026-01-23T19:20:16-05:00,c24-39,131328,24,   00:00:28    0.01      0.47      28.22 % HH:MM:SS=hours=minutes=seconds,Overall usage:         139207472 kB
